symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
QQQ,2017-01-05 00:00:00+00:00,120.87,120.95,120.1,120.16,20644254,116.3977838682,116.4748238509,115.6562740347,115.7140540217,20644254,0.0,1.0
QQQ,2017-01-06 00:00:00+00:00,121.93,122.25,120.685,120.99,24074305,117.418563639,117.7267235698,116.2196289082,116.5133438422,24074305,0.0,1.0
QQQ,2017-01-09 00:00:00+00:00,122.33,122.55,121.95,122.03,18909234,117.8037635525,118.015623505,117.4378236347,117.5148636174,18909234,0.0,1.0
QQQ,2017-01-10 00:00:00+00:00,122.6,122.97,122.1,122.37,16176631,118.0637734942,118.4200834142,117.5822736023,117.8422835439,16176631,0.0,1.0
QQQ,2017-01-11 00:00:00+00:00,122.93,122.93,122.02,122.63,20685983,118.3815634228,118.3815634228,117.5052336196,118.0926634877,20685983,0.0,1.0
QQQ,2017-01-12 00:00:00+00:00,122.74,122.819,121.6,122.49,19622511,118.1985934639,118.2746704468,117.1007737104,117.9578435179,19622511,0.0,1.0
QQQ,2017-01-13 00:00:00+00:00,123.16,123.37,122.8,122.81,16930803,118.6030533731,118.8052833277,118.2563734509,118.2660034488,16930803,0.0,1.0
QQQ,2017-01-17 00:00:00+00:00,122.79,123.03,122.4342,122.79,14538484,118.2467434531,118.4778634012,117.90410813,118.2467434531,14538484,0.0,1.0
QQQ,2017-01-18 00:00:00+00:00,123.04,123.16,122.66,122.96,12499663,118.487493399,118.6030533731,118.1215534812,118.4104534163,12499663,0.0,1.0
QQQ,2017-01-19 00:00:00+00:00,122.98,123.65,122.72,123.19,12710659,118.429713412,119.0749232672,118.1793334682,118.6319433666,12710659,0.0,1.0
QQQ,2017-01-20 00:00:00+00:00,123.25,123.83,122.92,123.51,22091039,118.6897233536,119.2482632282,118.371933425,118.9401032974,22091039,0.0,1.0
QQQ,2017-01-23 00:00:00+00:00,123.35,123.53,122.57,123.16,17434167,118.786023332,118.9593632931,118.0348835006,118.6030533731,17434167,0.0,1.0
QQQ,2017-01-24 00:00:00+00:00,124.18,124.37,123.3847,123.59,17640869,119.5853131526,119.7682831115,118.8194394245,119.0171432801,17640869,0.0,1.0
QQQ,2017-01-25 00:00:00+00:00,125.43,125.46,124.85,124.94,15036221,120.7890628823,120.8179528758,120.2305230077,120.3171929883,15036221,0.0,1.0
QQQ,2017-01-26 00:00:00+00:00,125.56,125.82,125.3438,125.59,16052150,120.9142528542,121.164632798,120.706052301,120.9431428477,16052150,0.0,1.0
QQQ,2017-01-27 00:00:00+00:00,125.8,125.9211,125.39,125.8,15052983,121.1453728023,121.2619920761,120.750542891,121.1453728023,15052983,0.0,1.0
QQQ,2017-01-30 00:00:00+00:00,124.82,125.38,124.13,125.37,25006715,120.2016330142,120.7409128931,119.5371631634,120.7312828953,25006715,0.0,1.0
QQQ,2017-01-31 00:00:00+00:00,124.57,124.6,123.85,124.4,19091133,119.9608830683,119.9897730618,119.2675232239,119.797173105,19091133,0.0,1.0
QQQ,2017-02-01 00:00:00+00:00,125.43,125.68,124.86,125.42,22861876,120.7890628823,121.0298128283,120.2401530056,120.7794328845,22861876,0.0,1.0
QQQ,2017-02-02 00:00:00+00:00,125.32,125.7,124.86,125.21,15101363,120.6831329061,121.0490728239,120.2401530056,120.5772029299,15101363,0.0,1.0
